Dataset,Max_Rules,Coverage_Threshold,Min_Improvement,Target_Metric,Accuracy,N_Rules,N_Conditions,N_Unique_Conditions,Train_Time
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.13769102096557617
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.13918614387512207
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.13845109939575195
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.1397266387939453
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.2,4,0.27419519424438477
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.2,2,0.06190371513366699
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.16,4,0.35614013671875
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.017728090286254883
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.0710601806640625
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.15673375129699707
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.25,5,0.26937127113342285
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.2,6,0.5480759143829346
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.1400742530822754
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.26666666666666666,4,0.15461230278015137
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.1718592643737793
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.17203927040100098
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.1399545669555664
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.1406850814819336
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.14079999923706055
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.14722371101379395
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.25,5,0.269855260848999
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.3,3,0.08211588859558105
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.2,5,0.421276330947876
appendicitis,5,0.01,0.01,purity,0.8095238095238095,5,0.2,1,0.015412092208862305
appendicitis,10,0.01,0.01,purity,0.8095238095238095,10,0.2,2,0.06364583969116211
appendicitis,15,0.01,0.01,purity,0.8095238095238095,15,0.2,3,0.14425444602966309
appendicitis,20,0.01,0.01,purity,0.8095238095238095,20,0.2,4,0.25522279739379883
appendicitis,30,0.01,0.01,purity,0.8095238095238095,30,0.16666666666666666,5,0.536827564239502
appendicitis,15,0.0,0.01,purity,0.8095238095238095,15,0.2,3,0.14196443557739258
appendicitis,15,0.03,0.01,purity,0.8095238095238095,15,0.2,3,0.142686128616333
appendicitis,15,0.05,0.01,purity,0.8095238095238095,15,0.26666666666666666,4,0.16098713874816895
appendicitis,15,0.1,0.01,purity,0.8095238095238095,15,0.3333333333333333,5,0.17355108261108398
appendicitis,15,0.01,0.0,purity,0.8095238095238095,15,0.2,3,0.14275646209716797
appendicitis,15,0.01,0.005,purity,0.8095238095238095,15,0.2,3,0.15860795974731445
appendicitis,15,0.01,0.02,purity,0.8095238095238095,15,0.2,3,0.15510106086730957
appendicitis,15,0.01,0.05,purity,0.8095238095238095,15,0.2,3,0.1605687141418457
appendicitis,20,0.03,0.01,purity,0.8095238095238095,20,0.2,4,0.2969486713409424
appendicitis,10,0.05,0.005,purity,0.8095238095238095,10,0.2,2,0.07256960868835449
appendicitis,25,0.01,0.005,purity,0.8095238095238095,25,0.2,5,0.43669843673706055
australian,5,0.01,0.01,purity,0.8768115942028986,5,0.6,3,0.08995318412780762
australian,10,0.01,0.01,purity,0.8768115942028986,10,0.4,4,0.28578829765319824
australian,15,0.01,0.01,purity,0.8768115942028986,15,0.3333333333333333,5,0.5871772766113281
australian,20,0.01,0.01,purity,0.8768115942028986,20,0.25,5,0.9294414520263672
